NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Gene Group Identifier	Gene Group Method
887035	Rv1264	adenylyl cyclase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887871	ahpE	peroxiredoxin	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888315	clgR	transcriptional regulator ClgR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888677	lipY	triacylglycerol lipase Lip	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888884	nrdH	glutaredoxin electron transport protein NrdH	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885442	uvrD1	ATP-dependent DNA helicase UvrD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885929	hspR	heat shock protein transcriptional repressor HspR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887980	whiB1	transcriptional regulator WhiB1	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888564	mapA	methionine aminopeptidase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888596	mapB	methionine aminopeptidase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885264	PE_PGRS16	PE-PGRS family protein PE_PGRS16	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885770	espC	ESX-1 secretion-associated protein EspC	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886125	dprE1	decaprenylphosphoryl-beta-D-ribose oxidase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886136	glfT2	galactofuranosyl transferase GlfT	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886626	PE_PGRS26	PE-PGRS family protein PE_PGRS26	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886751	mihF	integration host factor MihF	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887297	mpa	proteasome-associated ATPase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887442	TB31.7	universal stress protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887979	Rv2212	adenylyl cyclase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888659	pknK	serine/threonine-protein kinase PknK	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515888	mazF7	mRNA interferase MazF7	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885116	scpB	segregation and condensation protein ScpB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885205	Rv0880	HTH-type transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
